    highway     |         len
----------------+----------------------
 track          |     622.367870712695
 unclassified   |     505.521367103582
 path           |     321.179666953473
 residential    |     243.584404659227
 tertiary       |     209.966466423855
 service        |     152.997657951426
 secondary      |     123.373228471219
 footway        |     57.8211698512288
 primary        |     54.2327259247547
 motorway       |     28.0227362690048
 cycleway       |     15.9390561330557
 trunk          |     7.95272556956238
 pedestrian     |      6.6988974487192
 motorway_link  |     5.74210030286547
 living_street  |     3.07656081986131
 trunk_link     |     2.61739767291822
 road           |     1.77004868559225
 steps          |     1.65018994542522
 raceway        |     1.42181540641305
 bridleway      |     1.14852656818237
 platform       |     1.08166831011779
 primary_link   |     1.00440473672691
 proposed       |    0.928652651472753
 construction   |    0.870481291302807
 services       |      0.8539717893738
 rest_area      |     0.71100100084657
 corridor       |    0.497768722317564
 secondary_link |    0.358590701665747
 via_ferrata    |    0.267890500476567
 tertiary_link  |    0.254636273022008
 bus_stop       |    0.124406419049083
 escape         |   0.0580660660501235
 yes            |   0.0148991869454956
 abandoned      |   0.0122528873879119
 elevator       |  0.00328592155896916
 closed         |  0.00278007659847706
 bus_guideway   |   0.0022216036176387
 virtual        |  0.00202888923487431
 disused        | 0.000944443600671946
 no             |  0.00046568298372008
(40 rows)
