    highway     |       length
----------------+--------------------
 track          |   57177.0616891005
 unclassified   |   46287.1275708662
 path           |   29576.9151265339
 residential    |   22262.1983299026
 tertiary       |   19253.1338185216
 service        |   13995.2396093271
 secondary      |   11303.5432147272
 footway        |   5273.76643887429
 primary        |   4983.27583127291
 motorway       |   2582.07593680559
 cycleway       |   1463.83293593681
 trunk          |    729.22275510942
 pedestrian     |   610.693061056385
 motorway_link  |   523.162593069801
 living_street  |   280.896541123564
 trunk_link     |   239.889057848708
 road           |    161.46002998801
 steps          |   149.530775792355
 raceway        |   127.154317573137
 bridleway      |   104.886218535435
 platform       |   99.1177897004003
 primary_link   |    91.536326574562
 proposed       |    81.086636326443
 construction   |   80.8289948483198
 services       |   78.6220232299562
 rest_area      |   66.2889112659192
 corridor       |   44.8500741322209
 secondary_link |   32.4463781135712
 via_ferrata    |   24.2589528641685
 tertiary_link  |   22.9720228628759
 bus_stop       |   11.5097919432728
 escape         |   5.30659154550551
 yes            |   1.40289766767532
 abandoned      |   1.02022889344576
 elevator       |  0.301644458605968
 closed         |  0.264982968478494
 bus_guideway   |  0.206546278651775
 virtual        |  0.182392394245819
 disused        |  0.085840156780234
 no             | 0.0386135765098142
(40 rows)
